Data;Ora;Luogo;Tipo Incidente;Feriti;Latitudine;Longitudine
01/01/2020;04:30;VIA DELLA LIBERTA' altezza (inters.) VIA MESSINA;F;1;38,12704;13,353879
01/01/2020;04:30;VIA SANDRON REMO altezza (inters.) VIA DELLE CROCI;C;0;38,132221;13,356044
02/01/2020;09:35;VIA MESSINA MARINE altezza del civico 615;F;1;38,097625;13,41552
02/01/2020;09:55;PIAZZA PRINCIPE DI CAMPOREALE altezza del civico 103;F;1;38,118829;13,341985
02/01/2020;10:00;VIA GIORDANO UMBERTO altezza del civico 18/a;F;1;38,132912;13,340023
02/01/2020;14:15;VIA UDITORE intersezione con VIA ACI;F;1;38,131569;13,324181
02/01/2020;20:10;VIA ALBANESE ENRICO intersezione con VIA CALVI PASQUALE;F;1;38,130165;13,355039
02/01/2020;23:20;VIA ERRANTE VINCENZO intersezione VIA EMILIANI GIUDICI PAOLO;F;1;38,107703;13,36463
03/01/2020;07:00;VIA BORREMANS GUGLIELMO intersezione con VIA PRINCIPE DI PALAGONIA;C;0;38,133274;13,336878
03/01/2020;13:00;VIA GARZILLI NICCOLO' intersezione PIAZZA MAMELI GOFFREDO;F;1;38,129694;13,350111
03/01/2020;13:30;VIA MADDALENA UMBERTO altezza del civico 112/f;C;0;38,099768;13,310022
03/01/2020;14:00;PIAZZA CASTELFORTE altezza del civico 1;F;1;38,188971;13,322755
03/01/2020;22:40;VIA PORRAZZI intersezione con VIA MULE' GIUSEPPE;F;2;38,102522;13,334188
04/01/2020;00:10;VIA SCOTO MICHELE altezza (inters.) VIA EUGENIO L'EMIRO;F;4;38,113418;13,334185
04/01/2020;03:40;VIA CARINI ISIDORO intersezione VIA OMODEI FRANCESCO;C;0;38,129633;13,35537
04/01/2020;11:00;VIA GIACHERY CARLO in prossimit? di STAZ.SAMPOLO;F;1;38,135456;13,358601
04/01/2020;12:00;VIA S.MARTINO altezza (spec.) primo curvone;F;1;38,105462;13,299699
04/01/2020;18:15;VIA BASILE ERNESTO intersezione VIALE REGIONE SICILIANA S.E.;C;0;38,094525;13,340074
04/01/2020;22:15;VIA DELLA LIBERTA' altezza 37/M;C;0;38,126262;13,354814
04/01/2020;22:20;VIA CALA altezza (inters.) PIAZZA TARZANA';F;2;38,11907;13,366889
05/01/2020;14:45;VIALE REGIONE SICILIANA nr. 9991;F;1;38,181973;13,291733
05/01/2020;19:00;VIA MADONIA VINCENZO altezza del civico 67;C;0;38,099093;13,356206
06/01/2020;00:05;VIALE AZOTI NICOLO' altezza (spec.) DISTRIBUT.  ENI;F;1;38,087269;13,365653
06/01/2020;02:30;VIA CASTRIOTA GIORGIO intersezione con VIA BORRELLI ALFONSO;F;3;38,130652;13,353782
06/01/2020;11:00;VIA ORETO in prossimit? di PONTE;F;1;38,102328;13,370148
06/01/2020;11:10;VIA NOTARBARTOLO EMANUELE intersezione con VIA LEOPARDI GIACOMO;F;1;38,13298;13,3467
06/01/2020;17:15;VIA SERGIO PAPA I nr. 44c;F;2;38,151298;13,370692
07/01/2020;07:40;VIA DEGLI EMIRI intersezione con VIA ARCULEO ETTORE;F;1;38,115569;13,334002
07/01/2020;11:30;VIA ORETO intersezione VIA LA COLLA FRANCESCO;F;1;38,100473;13,371376
07/01/2020;12:10;VIA MACELLO intersezione VIALE DEI PICCIOTTI;F;2;38,106912;13,37925
07/01/2020;13:45;VIALE REGIONE SICILIANA N.O. di fronte villa Serena;F;4;38,11644;13,328797
07/01/2020;14:20;VIALE CROCE ROSSA altezza (inters.) PIAZZA VITTORIO VENETO;F;1;38,145954;13,341842
