Data;Ora;Luogo;Feriti;;Latitudine;Longitudine
01/01/2021;11:00;LUNGOMARE COLOMBO CRISTOFORO nr. 4204;1;F;38,188947;13,347657
01/01/2021;12:45;STRADELLA RISERVA REALE intersezione VIA NAVE;1;F;38,103081;13,315635
02/01/2021;13:00;CORSO DEI MILLE intersezione con VIA BACILE GIOVANNI MONS.;0;C;38,096111;13,399517
02/01/2021;15:00;VIALE REGIONE SICILIANA N.O. a mt. 70 PERPIGNANO;2;F;38,119618;13,328485
02/01/2021;16:50;VIA CADORNA LUIGI GEN. altezza civ. 63;0;C;38,111146;13,355248
02/01/2021;19:30;VIA LANZA DI SCALEA GIUSEPPE intersezione PIAZZETTA SPADOLINI GIOVANNI;0;C;38,171547;13,313111
02/01/2021;20:30;VIA ORETO altezza del civico 306;2;F;38,10322;13,369568
03/01/2021;01:20;VIALE REGIONE SICILIANA N.O. altezza LIDL;0;C;38,135152;13,330869
03/01/2021;07:40;VIA AMORELLI ALFONSO nr. 25;1;F;38,143075;13,318825
03/01/2021;16:15;CORSO CALATAFIMI nr. 1057;0;C;38,095903;13,312667
03/01/2021;21:10;VIA DELLA LIBERTA' altezza del civico 24/a;1;F;38,127153;13,353815
04/01/2021;07:45;VIA DEI QUARTIERI altezza (inters.) VIALE DUCA DEGLI ABRUZZI;0;C;38,164203;13,331657
04/01/2021;08:30;VIALE REGIONE SICILIANA N.O. altezza del civico 3757;0;C;38,136339;13,330997
04/01/2021;10:52;PIAZZA MICCA PIETRO altezza del civico 18;1;F;38,109349;13,308552
04/01/2021;11:00;VIALE REGIONE SICILIANA N.O. s.n.c.;1;F;38,131666;13,330401
04/01/2021;12:00;VIA DEL VISONE nr. 10;0;C;38,086138;13,357847
04/01/2021;12:10;VIALE MICHELANGELO altezza (inters.) VIA DEMMA ANTONINO;0;C;38,130955;13,303722
04/01/2021;12:45;VIALE REGIONE SICILIANA N.O. intersezione VIA DI STEFANO GIOVANNI;1;F;38,086108;13,406572
04/01/2021;16:35;VIA DELLA LIBERTA' intersezione con VIA ARCHIMEDE;0;C;38,128271;13,353514
04/01/2021;17:15;VIA AGOSTINO ANTONINO intersezione VIA EUGENIO L'EMIRO;0;C;38,113954;13,336394
05/01/2021;07:45;VIA AL FONDO MARGIFARACI altezza del civico 19;0;C;38,116444;13,320478
05/01/2021;12:00;VIA NOTARBARTOLO EMANUELE altezza del civico 1/b;0;C;38,133598;13,349217
05/01/2021;14:30;VIA BERNINI GIAN LORENZO altezza del civico 42;1;F;38,133579;13,324966
05/01/2021;15:50;VIA MULE' GIUSEPPE intersezione VIA SCHIFANI VITO;1;F;38,102816;13,336448
05/01/2021;16:10;VIALE REGIONE SICILIANA N.O. carr. centrale DIR. CATANIA;1;F;38,125584;13,329141
05/01/2021;18:30;VIA TIEPOLO GIOVAN BATTISTA altezza del civico 17;1;F;38,134994;13,322426
05/01/2021;18:50;LARGO SELLERIO ANTONIO intersezione VIA NICASTRO GUSTAVO AMM.;1;F;38,148166;13,357691
06/01/2021;14:00;CORSO CALATAFIMI intersezione VIA CHINNICI DOMENICO GEN.;1;F;38,099611;13,321721
07/01/2021;09:25;VIALE REGIONE SICILIANA N.O. carr. laterale alt. lennon;0;C;38,132049;13,330428
07/01/2021;11:45;VIA SARULLO LUIGI altezza del civico 5;0;C;38,123764;13,303104
07/01/2021;12:20;VIA MARTURANO RUGGERO intersezione VIA RIZZO AMMIRAGLIO;1;F;38,143808;13,361733
07/01/2021;13:00;VIA GUGLIELMO IL BUONO altezza (inters.) VIA CONTESSA GIUDITTA;1;F;38,11637;13,344988
07/01/2021;16:10;VIALE RIZZOTTO PLACIDO altezza del civico 15;0;C;38,085786;13,366171
07/01/2021;18:30;VIA CAPPUCCINI intersezione CORSO CALATAFIMI;1;F;38,111119;13,350072
07/01/2021;20:00;VIA RIZZO AMMIRAGLIO di fronte al civico 13;0;C;38,144364;13,367397
08/01/2021;07:00;VIA SADAT ANWAR pressi Ingr Fiera;0;C;38,146546;13,354147
08/01/2021;08:00;VIA PIANO DELL'UCCIARDONE intersezione con VIA ARCHIMEDE;1;F;38,130941;13,360264
08/01/2021;13:15;VIALE PRINCIPE DI SCALEA altezza del civico 32;1;F;38,197945;13,329031
08/01/2021;15:15;VIA VOLTURNO intersezione con VIA TUNISI;1;F;38,119698;13,354578
08/01/2021;16:30;VIA PACINOTTI ANTONIO altezza del civico 18;2;F;38,129529;13,335403
08/01/2021;17:30;VIA NENNI PIETRO altezza del civico 24;1;F;38,155318;13,319798
08/01/2021;19:15;VIALE DIANA intersezione con VIALE ERCOLE;2;F;38,150266;13,34873
08/01/2021;19:15;VIA CAVOUR CAMILLO intersezione VIA ROMA;0;C;38,121997;13,360813
08/01/2021;19:30;VIA LA MALFA UGO di fronte al civico 61;2;F;38,1534;13,321677
08/01/2021;20:30;VIA DELL'ORSA MINORE di fronte al civico 82;1;F;38,095285;13,368826
08/01/2021;22:00;VIA DODICI GENNAIO altezza del civico 7;0;C;38,125456;13,353093
09/01/2021;15:30;PIAZZA MARINA altezza del civico 38;0;C;38,116905;13,368815
09/01/2021;18:50;PIAZZA TURBA EUCLIDE GEN. di fronte al civico 69;1;F;38,100822;13,338611
09/01/2021;19:20;VIA MESSINA MARINE intersezione VIA ALBRICCI ALBERIGO GEN.;0;C;38,102466;13,395608
09/01/2021;20:00;VIA AQUILEIA intersezione VIALE DELLE ALPI;1;F;38,144262;13,332259
09/01/2021;22:40;VIA LINCOLN nr. 191;0;C;38,111251;13,367696
10/01/2021;00:01;VIA ABRUZZI altezza (inters.) LARGO FRIULI;0;C;38,143874;13,334709
10/01/2021;10:00;VIA LA MALFA UGO altezza del civico D.F. 68;1;F;38,161167;13,315202
10/01/2021;12:00;CORSO CALATAFIMI di fronte al civico 170;1;F;38,107503;13,341241
10/01/2021;22:00;VILLA MONTALTO GIUSEPPE di fronte al civico 243;0;C;38,138699;13,366124
10/01/2021;23:00;PIAZZA TEATRO S.CECILIA altezza del civico 31;0;C;38,11449;13,365239
11/01/2021;09:20;VIA VOLTURNO altezza del civico 59;0;C;38,119619;13,354374
11/01/2021;09:40;VIA DUCA DELLA VERDURA altezza (inters.) VIA DE GREGORIO ANTONIO;0;C;38,135062;13,355162
11/01/2021;10:30;VIALE STRASBURGO di fronte al civico 282;0;C;38,155319;13,32768
11/01/2021;11:10;CORSO DEI MILLE intersezione con CORTILE PATANIA;1;F;38,086498;13,423959
11/01/2021;13:15;VIA VALLA NICCOLO' intersezione VIA ACCARDO MARIANO;0;C;38,125421;13,333068
11/01/2021;17:15;VIA SAITTA LONGHI altezza del civico 116*C;1;F;38,091051;13,308876
11/01/2021;18:25;VIALE MARCHESE DI VILLABIANCA altezza del civico 68;1;F;38,13627;13,351063
11/01/2021;18:40;VIA ROMA intersezione con VIA VITTORIO EMANUELE;1;F;38,116566;13,363634
11/01/2021;20:05;VIALE RIZZOTTO PLACIDO altezza del civico 4;1;F;38,086907;13,366044
12/01/2021;08:30;VIA MESSINA MARINE altezza del civico 100;0;C;38,106479;13,385583
12/01/2021;11:25;VIA MESSINA MARINE altezza del civico 215;0;C;38,106157;13,386569
12/01/2021;13:15;VIA BRUNELLESCHI FILIPPO intersezione con VIALE MICHELANGELO;0;C;38,135098;13,313785
12/01/2021;14:00;PIAZZA EINSTEIN ALBERT altezza LATO MONTE;0;C;38,129072;13,328888
12/01/2021;15:15;VIA CIPOLLA MICHELE intersezione VIA ANTONIO DI RUDINI';0;C;38,111305;13,370544
12/01/2021;15:55;CORSO DEI MILLE di fronte al civico 1235;0;C;38,092811;13,408864
12/01/2021;17:30;VIA MESSINA MARINE altezza (spec.) d.f. al civ.449;1;F;38,099846;13,403508
12/01/2021;19:00;VIA BASILE ERNESTO altezza (inters.) CORSO RE RUGGERO;0;C;38,107819;13,355171
12/01/2021;19:30;VIA MARINUZZI GINO nr. 21;1;F;38,104645;13,33498
12/01/2021;20:26;VIA DELLA LIBERTA' intersezione VIALE LAZIO;2;F;38,143851;13,343229
13/01/2021;05:20;VIA CANDELA NICCOLO' nr. 1;0;C;38,149635;13,315259
13/01/2021;08:00;VIALE REGIONE SICILIANA S.E. altezza (spec.) rotonda oreto;1;F;38,090983;13,377398
13/01/2021;11:55;VIA RIZZO AMMIRAGLIO di fronte al civico 15;0;C;38,144344;13,367285
13/01/2021;15:00;VIA SCHIFANI VITO intersezione VIA MULE' GIUSEPPE;0;C;38,102816;13,336443
13/01/2021;15:00;VIA MESSINA MARINE altezza del civico 16;1;F;38,10838;13,381071
13/01/2021;16:30;VIA DELLE CASE NUOVE intersezione VIA MAQUEDA;0;C;38,111658;13,364043
13/01/2021;16:35;CORSO CALATAFIMI altezza del civico 32;0;C;38,110598;13,348884
14/01/2021;11:05;VIA CILEA FRANCESCO di fronte al civico 89;1;F;38,136816;13,337345
14/01/2021;12:25;PIAZZA ZIINO OTTAVIO nr. 24;0;C;38,131043;13,337807
14/01/2021;12:30;VIA PRINCIPE DI GRANATELLI intersezione PIAZZA FLORIO IGNAZIO;1;F;38,124544;13,360011
14/01/2021;15:30;VIA MASSAIA GUGLIELMO CARD. intersezione VIA GREGORIO MAGNO PAPA;1;F;38,152283;13,371227
14/01/2021;18:30;VIALE REGIONE SICILIANA S.E. altezza PONTE CORLEONE;1;F;38,09073;13,342986
14/01/2021;19:00;VIA MESSINA MONTAGNE altezza del civico 24;1;F;38,082644;13,43122
15/01/2021;09:10;VIALE REGIONE SICILIANA N.O. altezza del civico 2507;0;C;38,126027;13,329704
15/01/2021;09:10;VIALE REGIONE SICILIANA di fronte al civico 33;0;C;38,122122;13,329253
15/01/2021;10:00;CORSO FINOCCHIARO APRILE CAMILLO altezza del civico 185;1;F;38,118272;13,345728
15/01/2021;18:00;CORSO CALATAFIMI altezza del civico 735;2;F;38,102383;13,328564
15/01/2021;19:00;VIALE GALILEO GALILEI altezza (inters.) VIA MOZART WOLFGANG AMADEUS;0;C;38,134249;13,333419
15/01/2021;20:30;VIA SACCO E VANZETTI altezza del civico 36;0;M;38,097774;13,406282
15/01/2021;21:40;FORO UMBERTO I intersezione con PIAZZA TUMMINELLO VINCENZO;0;C;38,113085;13,377862
15/01/2021;23:15;VIA PROSERPINA altezza del civico 3;1;F;38,19776;13,278431
16/01/2021;12:30;VIALE REGIONE SICILIANA N.O. altezza del civico 1721;1;F;38,118725;13,329048
16/01/2021;16:00;VIA CUSMANO GIACOMO altezza del civico 28;0;C;38,126043;13,347253
16/01/2021;19:25;VIA ROCCAZZO intersezione VIA TUCCI FRANCESCO;0;C;38,120111;13,305753
16/01/2021;20:00;VIALE REGIONE SICILIANA N.O. altezza di;0;C;38,167649;13,302607
16/01/2021;20:20;VIALE NICOLETTI ROSARIO in prossimit? di SVINCOLO MONDEL;0;C;38,189256;13,294777
16/01/2021;20:30;VIA CORLEONE SALVATORE in prossimit? di SOTTOPASSAGGIO;2;F;38,088155;13,405743
17/01/2021;11:40;PIAZZA PONTE DELL'AMMIRAGLIO altezza del civico 9;1;F;38,104888;13,374145
17/01/2021;15:20;VIA ROMA altezza (inters.) VIA GORIZIA;2;F;38,118688;13,362576
17/01/2021;18:15;VIA ORETO altezza del civico 202;1;F;38,105485;13,368055
18/01/2021;14:20;CORSO CALATAFIMI altezza del civico 388;0;C;38,104652;13,334222
18/01/2021;14:45;VIA BELGIO altezza (inters.) SVINCOLO DI SALVO ROSARIO;0;C;38,149304;13,327046
18/01/2021;18:00;VIA DEI CANTIERI altezza (inters.) VIA GIOVANNI DA VERRAZZANO;1;F;38,136528;13,360976
18/01/2021;18:30;VIA PECORAINO FILIPPO altezza del civico 10;0;C;38,096973;13,392476
18/01/2021;18:35;VIA PECORAINO FILIPPO altezza del civico 10;0;C;38,096973;13,392476
18/01/2021;20:00;VIA BENTIVEGNA FRANCESCO altezza (inters.) VIA CARELLA;1;F;38,123242;13,36074
19/01/2021;10:43;VIA PEREZ FRANCESCO PAOLO intersezione con VIA PALERMO GASPARE;1;F;38,106449;13,366209
19/01/2021;13:25;VIA ROCCELLA GUSTAVO intersezione VIA RAITI CARMELO;0;C;38,095868;13,347887
19/01/2021;14:00;PIAZZALE BOLIVAR SIMON di fronte VIALE AIACE;1;F;38,189649;13,29887
19/01/2021;14:30;VIA PARTANNA MONDELLO intersezione VIALE AIACE;2;F;38,189604;13,298707
19/01/2021;21:00;VIA DAITA GAETANO intersezione con VIA SELLA QUINTINO;1;F;38,126966;13,35515
20/01/2021;04:19;VIA S.LORENZO altezza (inters.) VIALE DELLA RESURREZIONE;0;C;38,164368;13,318934
20/01/2021;08:30;PIAZZA EINSTEIN ALBERT in prossimit? di Binario;2;F;38,128784;13,330304
20/01/2021;09:45;VIALE CAMPANIA altezza del civico 60;0;C;38,146073;13,337877
20/01/2021;09:50;CORSO DEI MILLE altezza del civico 1576;1;F;38,089991;13,41795729
20/01/2021;11:15;VIALE MICHELANGELO di fronte al civico 612;1;F;38,137978;13,323541
20/01/2021;13:15;VIA SAURO NAZARIO altezza (inters.) VIA MERCANTINI LUIGI;0;C;38,122915;13,332075
20/01/2021;15:00;VIALE REGIONE SICILIANA N.O. altezza (inters.) VIA MONTE BIANCO;0;C;38,167575;13,302635
20/01/2021;15:20;VIA PIANO DELL'UCCIARDONE intersezione VIA ARCHIMEDE;2;F;38,130955;13,360261
20/01/2021;19:10;VIA MESSINA MARINE di fronte al civico 721;0;C;38,097141;13,419636
20/01/2021;19:30;VIA MESSINA MARINE di fronte al civico 721;0;C;38,097141;13,419636
20/01/2021;21:15;VIA PRINCIPE DI SCORDIA intersezione VIA GRAVINA BENEDETTO;2;F;38,126548;13,35967
20/01/2021;21:25;VIA MANIN intersezione con VIA RAFFAELE GIOVANNI;1;F;38,130832;13,355401
21/01/2021;08:25;VIA ROMA intersezione VIA DIVISI;2;F;38,113192;13,365303
21/01/2021;11:15;VIA MONTEPELLEGRINO intersezione con VIA GIACHERY CARLO;1;F;38,135953;13,358656
21/01/2021;12:00;VIALE MICHELANGELO intersezione VIA BERNINI GIAN LORENZO;1;F;38,137492;13,321527
