Quartiere;Italiani;Stranieri
ALTARELLO;14724;207
ARENELLA - VERGINE MARIA;8338;54
BOCCADIFALCO;7724;75
BORGO NUOVO;19292;131
BRANCACCIO-CIACULLI;16201;145
CRUILLAS - S.GIOVANNI APOSTOLO;30097;238
CUBA-CALATAFIMI;18957;550
LIBERTA';39241;1447
MALASPINA -PALAGONIA;18455;391
MEZZOMONREALE -VILLA TASCA;35388;277
MONTEGRAPPA - S. ROSALIA;20506;552
MONTEPELLEGRINO;25808;646
NOCE;24914;2159
ORETO- STAZIONE;34554;4487
PALAZZO REALE - MONTE DI PIETA';11264;2756
PALLAVICINO;25287;604
PARTANNA MONDELLO;19004;418
POLITEAMA;27811;3585
RESUTTANA - S.LORENZO;39550;688
SETTECANNOLI;47602;319
TOMMASO NATALE - SFERRACAVALLO;21787;300
TRIBUNALI-CASTELLAMMARE;10169;2098
UDITORE-PASSO DI RIGANO;29771;474
VILLAGRAZIA-FALSOMIELE;39508;211
ZISA;30814;2429
senza fissa dimora;533;76
